Player,Position,Team,Games Played,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game,Three Points Made Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
James Harden,SG,HOU,78,36,32.334,5.768,7.14,4.095,2.205,0.742,4.532
Giannis Antetokounmpo,PF,MIL,72,33,29.274,13.596,6.51,0.945,1.365,1.696,3.502
Stephen Curry,PG,GSW,76,35,30.396,6.077,5.985,5.88,1.575,0.424,2.987
Karl-Anthony Towns,C,MIN,79,33,26.112,12.772,3.78,1.995,0.945,1.802,3.193
Anthony Davis,PF,LAL,76,36,28.254,11.639,3.675,1.05,1.785,2.756,2.266
LeBron James,PG,LAL,74,36,27.438,8.961,9.24,2.205,1.365,0.636,3.811
Nikola Jokic,C,DEN,78,32,22.032,12.051,8.19,1.155,1.47,0.848,3.296
Damian Lillard,PG,POR,80,36,28.152,3.914,7.35,3.36,1.155,0.424,2.678
Bradley Beal,SG,WAS,78,36,27.948,5.562,5.88,2.73,1.575,0.742,2.678
Joel Embiid,C,PHI,66,32,28.152,14.008,3.885,1.26,0.735,2.014,3.399
Andre Drummond,C,DET,78,34,18.972,16.48,1.575,0.105,1.785,2.014,2.266
Kawhi Leonard,SF,LAC,72,34,26.1,7.21,3.9,2.1,2,0.9,2.06
Nikola Vucevic,C,ORL,78,32,20.502,12.463,4.305,1.26,1.05,1.272,2.06
Paul George,PF,LAC,72,35,24.684,8.446,4.305,3.99,2.1,0.424,2.678
Luka Doncic,SF,DAL,74,34,23.97,8.549,7.035,2.73,1.26,0.318,3.708
Kemba Walker,PG,BOS,77,33,25.398,4.223,6.195,3.36,1.155,0.424,2.575
Russell Westbrook,PG,HOU,71,36,21.624,8.652,8.61,1.785,1.995,0.53,4.223
Ben Simmons,PG,PHI,78,34,18.156,9.064,9.135,0,1.575,0.954,3.605
Donovan Mitchell,SG,UTA,78,34,25.704,4.429,3.99,2.73,1.47,0.424,2.884
Devin Booker,SG,PHO,71,35,28.05,4.429,5.985,2.31,0.945,0.212,3.811
Kyrie Irving,PG,BKN,70,33,25.602,4.017,7.56,2.835,1.47,0.424,2.678
Trae Young,PG,ATL,73,32,22.746,4.12,9.345,2.52,0.945,0.212,4.017
Buddy Hield,SG,SAC,80,32,22.236,5.459,2.73,3.675,0.84,0.424,1.854
Rudy Gobert,C,UTA,77,32,17.238,13.905,2.205,0,0.84,2.544,1.648
Jrue Holiday,SG,NOR,73,34,22.338,5.15,6.825,1.89,1.575,0.848,3.09
D'Angelo Russell,SG,GSW,78,32,21.42,4.12,5.355,3.36,1.365,0.212,3.399
De'Aaron Fox,PG,SAC,78,32,19.38,4.326,8.295,1.365,1.68,0.742,2.987
Jimmy Butler,SF,MIA,72,33,22.644,6.283,5.355,1.68,1.995,0.742,1.442
DeMar DeRozan,SF,SAS,76,33,21.828,6.18,6.3,0.42,1.155,0.53,2.575
Tobias Harris,SF,PHI,80,34,19.788,8.24,3.045,2.1,0.84,0.53,1.854
John Collins,PF,ATL,72,32,22.236,11.227,2.1,1.05,0.525,1.166,2.472
Julius Randle,PF,NYK,76,31,20.808,8.961,3.885,1.05,0.735,0.636,2.884
Khris Middleton,SF,MIL,76,32,20.298,6.592,4.83,2.625,1.365,0.106,2.472
LaMarcus Aldridge,PF,SAS,76,33,21.216,9.373,2.205,0.105,0.525,1.272,1.854
Pascal Siakam,PF,TOR,78,34,19.176,7.931,3.675,1.155,1.05,0.742,2.06
CJ McCollum,SG,POR,76,34,22.746,4.429,3.36,2.625,0.84,0.424,1.545
Deandre Ayton,C,PHO,72,32,19.89,11.33,2.1,0,0.945,1.378,1.957
Zach LaVine,SG,CHI,68,34,24.072,4.944,4.935,2.1,1.05,0.424,3.502
Blake Griffin,PF,DET,60,34,24.888,7.931,5.775,2.52,0.735,0.424,3.399
Jamal Murray,PG,DEN,76,33,19.686,4.738,5.355,2.205,0.945,0.424,2.163
Domantas Sabonis,PF,IND,76,30,16.32,11.124,3.885,0.105,0.84,0.53,2.781
Marvin Bagley III,PF,SAC,72,30,19.89,10.3,1.575,0.63,0.63,1.272,1.957
